p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
INO80D	3.9244806136344e-239	0.322865215730245	0.243	0.428	6.3686471398059e-235	1	INO80D
GOLGB1	6.3628742956395e-226	0.269293998895804	0.243	0.421	1.03256724069638e-221	1	GOLGB1
MLXIPL	9.76184318057196e-205	0.267094358764224	0.275	0.469	1.58415191134322e-200	1	MLXIPL
RBM25	3.1611544199463e-203	0.280170723615338	0.3	0.515	5.12992139268886e-199	1	RBM25
RASGEF1B	1.92884533602646e-193	0.356568519185888	0.242	0.41	3.13013021130373e-189	1	RASGEF1B
ZNF846	8.41315903649068e-179	0.259506721143265	0.286	0.474	1.36528744844171e-174	1	ZNF846
ZMAT1	1.08744455725803e-169	0.280326671607306	0.149	0.255	1.76470502751833e-165	1	ZMAT1
MPHOSPH8	1.84562143472619e-167	0.266261979110368	0.283	0.47	2.99507446427367e-163	1	MPHOSPH8
PRAM1	1.32081906536921e-162	0.29428495386557	0.291	0.477	2.14342517928116e-158	1	PRAM1
BOD1L1	1.98727049208426e-152	0.317316942908623	0.313	0.517	3.22494255455433e-148	1	BOD1L1
WNT2B	8.00470936874132e-152	0.285626568852441	0.203	0.328	1.29900423635934e-147	1	WNT2B
NKTR	2.48821174099628e-151	0.260536622838487	0.352	0.582	4.03787001328877e-147	1	NKTR
MAF	1.92294558395793e-145	0.281555104243843	0.337	0.544	3.12055609364692e-141	1	MAF
LINGO1	2.17581283324723e-137	0.390946860143301	0.263	0.421	3.5309090657936e-133	1	LINGO1
GAK	1.79637685640394e-136	0.341903858050996	0.302	0.493	2.91516036257231e-132	1	GAK
SLC26A3	3.15782257910215e-123	0.484136989967158	0.199	0.318	5.12451448136698e-119	1	SLC26A3
MT-CO3	2.85983929125987e-103	0.419668717378554	0.704	0.804	4.64094720185652e-99	1	MT-CO3
ABR	3.17852936954843e-97	0.270973924833595	0.788	0.936	5.15811746090318e-93	1	ABR
TIMM23B	1.14188592006099e-91	0.43004241201908	0.196	0.3	1.85305247107498e-87	1	TIMM23B
